Scheme name, 8b4e_1972b_1960_1178_1886_224bpi_12inj_800ns_bs200ns
B2 n. bunches, 1972
B1 n. injections, 12
B2 n. injections, 12
B1 max. injection length [ns],8525
B2 max. injection length [ns],8525
B1 LHC injection kicker gap [ns],800
B2 LHC injection kicker gap [ns],800
B1 SPS injection kicker gap [ns],200
B2 SPS injection kicker gap [ns],200
B1 abort gap [ns],3050
B2 abort gap [ns],3050
